first_name,count
Adda,2
Aggi,2
Albert,2
Aleen,2
Alejoa,2
Allis,2
Andrea,2
Angelique,2
Arabella,2
Aura,2
Auroora,2
Babara,2
Barnabe,2
Barrett,2
Billy,2
Boothe,2
Carley,2
Cesya,2
Christalle,2
Chuck,2
Cull,2
Daron,2
Delmore,2
Dion,2
Donnie,2
Dougy,2
Dulcie,2
Eberto,2
Efren,2
Eugenia,2
Frasier,2
Godiva,2
Gris,2
Hammad,2
Ibbie,3
Ilka,2
Jemmy,2
Jsandye,2
Kimberlee,2
Lucian,2
Maressa,2
Mavra,2
Merrill,2
Milicent,2
Myrah,2
Nicky,2
Paloma,2
Paten,2
Rowland,2
Saxon,2
Shelby,2
Sherlocke,2
Skippie,2
Tammy,3
Thurston,3
Valentino,2
Valerye,2
Wallis,2
Yul,3
